epochs,MAE,MRSTFT
806,0.001134909,0.012270248
807,0.00161127,0.013244687
808,0.001227957,0.007764067
809,0.001249986,0.011525637
810,0.002130604,0.013766638
811,0.001937588,0.016785103
812,0.002089664,0.016811416
813,0.00163884,0.012453024
814,0.000808976,0.006759779
815,0.001058327,0.006769997
816,0.002268407,0.023782042
817,0.000636518,0.005562719
818,0.001457897,0.009393748
819,0.00101488,0.006679447
820,0.001590866,0.009167646
821,0.001297519,0.006257823
822,0.003362761,0.024283229
823,0.001310268,0.004487189
824,0.002276931,0.020716755
825,0.002125934,0.019007548
826,0.002416852,0.021077732
827,0.001915758,0.003164366
828,0.002547905,0.01802225
829,0.002419917,0.021066494
830,0.002143369,0.01477115
831,0.006020992,0.039243943
832,0.001393953,0.0118833
833,0.002910906,0.020128313
834,0.004390628,0.038083157
835,0.002016922,0.012768653
836,0.002272707,0.019274057
837,0.000471526,0.0039015
838,0.001379865,0.006672077
839,0.003260922,0.027891785
840,0.003141542,0.017544207
841,0.001897445,0.014163505
842,0.011490681,0.091313265
843,0.00282943,0.019528974
844,0.001132009,0.008881677
845,0.001622881,0.010389929
846,0.002131059,0.015815791
847,0.00116818,0.009099004
848,0.001341546,0.008337646
849,0.001358346,0.012286681
850,0.003739205,0.027521681
851,0.00543421,0.039775187
852,0.004575545,0.032658259
853,0.002580929,0.017391046
854,0.002806309,0.012269704
855,0.002400021,0.014839937
856,0.00144974,0.011942263
857,0.001725137,0.007204514
858,0.002391608,0.018060491
859,0.001669402,0.011102068
860,0.002265118,0.016092157
861,0.001941162,0.015030394
862,0.001955709,0.008870036
863,0.002991081,0.023306801
864,0.001226926,0.010377308
865,0.003569183,0.025753177
866,0.001914711,0.007924936
867,0.003014265,0.018971644
868,0.002949736,0.02235997
869,0.003327604,0.027996132
870,0.003106804,0.022190777
871,0.007550685,0.059073768
872,0.004877039,0.035238329
873,0.003318618,0.025560575
874,0.00636657,0.042287086
875,0.004110889,0.028627305
876,0.001264861,0.006456973
877,0.002485591,0.021765763
878,0.001465479,0.002601107
879,0.002701119,0.022821135
880,0.001352097,0.003550071
881,0.00216227,0.01714739
882,0.001192432,0.005573255
883,0.002130979,0.017309756
884,0.001503194,0.014477204
885,0.003361233,0.028476669
886,0.001209913,0.010246153
887,0.001435142,0.005187321
888,0.001003616,0.005549506
889,0.004822244,0.030150216
890,0.002265119,0.011881106
891,0.001222019,0.009975038
892,0.002921461,0.009276085
893,0.0061274,0.02732535
894,0.00148172,0.007269336
895,0.003209291,0.021847605
896,0.005149353,0.033298866
897,0.003786369,0.021382644
898,0.002736147,0.013417643
899,0.003034712,0.025484881
900,0.00222385,0.016024787
901,0.008760807,0.070392565
902,0.001457165,0.014433521
903,0.001279512,0.009171651
904,0.000871836,0.008181799
905,0.001090616,0.005718598
906,0.000517948,0.004934906
907,0.003338944,0.016985759
908,0.002361142,0.012659313
909,0.001464514,0.010216389
910,0.0033962,0.024091449
911,0.002091145,0.005310849
912,0.005322119,0.031081553
913,0.001190532,0.010326202
914,0.003162574,0.022902926
915,0.001658494,0.00352406
916,0.001309857,0.012381183
917,0.002549717,0.017547783
918,0.002376158,0.006423549
919,0.003592303,0.02717443
920,0.001431778,0.013948347
921,0.005038134,0.03970671
922,0.002724793,0.008908281
923,0.003308536,0.025916422
924,0.001294351,0.010687853
925,0.002066501,0.011429692
926,0.004158211,0.022673935
927,0.002406697,0.011901814
928,0.001901515,0.017798537
929,0.00198413,0.004518001
930,0.003442148,0.019797979
931,0.001981931,0.017539483
932,0.00152539,0.003194183
933,0.002480198,0.00728217
934,0.00180471,0.010628924
